link;year_op;transport_tech;power_capacity_max;power_capacity_min
BA-ME;2050;hvac;1000.0;1000.0
BA-ME;2050;hvdc;0.0;0.0
BA-RS;2050;hvac;1600.0;1600.0
BA-RS;2050;hvdc;0.0;0.0
BE-DE;2050;hvac;0.0;0.0
BE-DE;2050;hvdc;2000.0;2000.0
BE-DK;2050;hvac;0.0;0.0
BE-DK;2050;hvdc;0.0;0.0
BE-FR;2050;hvac;5600.0;5600.0
BE-FR;2050;hvdc;0.0;0.0
BE-NL;2050;hvac;4800.0;4800.0
BE-NL;2050;hvdc;0.0;0.0
BE-UK;2050;hvac;0.0;0.0
BE-UK;2050;hvdc;4800.0;4800.0
BG-GR;2050;hvac;2400.0;2400.0
BG-GR;2050;hvdc;0.0;0.0
BG-MK;2050;hvac;800.0;800.0
BG-MK;2050;hvdc;0.0;0.0
BG-RO;2050;hvac;4000.0;4000.0
BG-RO;2050;hvdc;0.0;0.0
BG-RS;2050;hvac;800.0;800.0
BG-RS;2050;hvdc;0.0;0.0
BG-TR;2050;hvac;864.0;864.0
BG-TR;2050;hvdc;0.0;0.0
CH-AT;2050;hvac;2400.0;2400.0
CH-AT;2050;hvdc;0.0;0.0
CH-DE;2050;hvac;8400.0;8400.0
CH-DE;2050;hvdc;0.0;0.0
CH-FR;2050;hvac;2800.0;2800.0
CH-FR;2050;hvdc;0.0;0.0
CH-IT;2050;hvac;9144.0;9144.0
CH-IT;2050;hvdc;0.0;0.0
CZ-AT;2050;hvac;1800.0;1800.0
CZ-AT;2050;hvdc;0.0;0.0
CZ-DE;2050;hvac;6000.0;6000.0
CZ-DE;2050;hvdc;0.0;0.0
CZ-PL;2050;hvac;2100.0;2100.0
CZ-PL;2050;hvdc;0.0;0.0
CZ-SK;2050;hvac;3810.0;3810.0
CZ-SK;2050;hvdc;0.0;0.0
DE-AT;2050;hvac;15000.0;15000.0
DE-AT;2050;hvdc;0.0;0.0
DE-BE;2050;hvac;0.0;0.0
DE-BE;2050;hvdc;2000.0;2000.0
DE-CH;2050;hvac;8800.0;8800.0
DE-CH;2050;hvdc;0.0;0.0
DE-CZ;2050;hvac;6000.0;6000.0
DE-CZ;2050;hvdc;0.0;0.0
DE-DK;2050;hvac;7800.0;7800.0
DE-DK;2050;hvdc;5200.0;5200.0
DE-FR;2050;hvac;9600.0;9600.0
DE-FR;2050;hvdc;0.0;0.0
DE-LU;2050;hvac;7400.0;7400.0
DE-LU;2050;hvdc;0.0;0.0
DE-NL;2050;hvac;10000.0;10000.0
DE-NL;2050;hvdc;0.0;0.0
DE-NO;2050;hvac;0.0;0.0
DE-NO;2050;hvdc;2800.0;2800.0
DE-PL;2050;hvac;6000.0;6000.0
DE-PL;2050;hvdc;0.0;0.0
DE-SE;2050;hvac;0.0;0.0
DE-SE;2050;hvdc;1230.0;1230.0
DE-UK;2050;hvac;0.0;0.0
DE-UK;2050;hvdc;2800.0;2800.0
DK-BE;2050;hvac;0.0;0.0
DK-BE;2050;hvdc;0.0;0.0
DK-DE;2050;hvac;7800.0;7800.0
DK-DE;2050;hvdc;5170.0;5170.0
DK-NL;2050;hvac;0.0;0.0
DK-NL;2050;hvdc;1400.0;1400.0
DK-NO;2050;hvac;0.0;0.0
DK-NO;2050;hvdc;3264.0;3264.0
DK-SE;2050;hvac;3400.0;3400.0
DK-SE;2050;hvdc;1430.0;1430.0
DK-UK;2050;hvac;0.0;0.0
DK-UK;2050;hvdc;2800.0;2800.0
EE-FI;2050;hvac;0.0;0.0
EE-FI;2050;hvdc;2032.0;2032.0
EE-LV;2050;hvac;2070.0;2070.0
EE-LV;2050;hvdc;0.0;0.0
ES-FR;2050;hvac;11200.0;11200.0
ES-FR;2050;hvdc;0.0;0.0
ES-PT;2050;hvac;8400.0;8400.0
ES-PT;2050;hvdc;0.0;0.0
FI-EE;2050;hvac;0.0;0.0
FI-EE;2050;hvdc;2032.0;2032.0
FI-NO;2050;hvac;160.0;160.0
FI-NO;2050;hvdc;0.0;0.0
FI-SE;2050;hvac;4000.0;4000.0
FI-SE;2050;hvdc;2400.0;2400.0
FR-BE;2050;hvac;8600.0;8600.0
FR-BE;2050;hvdc;0.0;0.0
FR-CH;2050;hvac;7400.0;7400.0
FR-CH;2050;hvdc;0.0;0.0
FR-DE;2050;hvac;9600.0;9600.0
FR-DE;2050;hvdc;0.0;0.0
FR-ES;2050;hvac;10600.0;10600.0
FR-ES;2050;hvdc;0.0;0.0
FR-IE;2050;hvac;0.0;0.0
FR-IE;2050;hvdc;1400.0;1400.0
FR-IT;2050;hvac;6570.0;6570.0
FR-IT;2050;hvdc;2400.0;2400.0
FR-UK;2050;hvac;0.0;0.0
FR-UK;2050;hvdc;8000.0;8000.0
GR-AL;2050;hvac;1200.0;1200.0
GR-AL;2050;hvdc;0.0;0.0
GR-BG;2050;hvac;2400.0;2400.0
GR-BG;2050;hvdc;0.0;0.0
GR-IT;2050;hvac;0.0;0.0
GR-IT;2050;hvdc;1000.0;1000.0
GR-MK;2050;hvac;2200.0;2200.0
GR-MK;2050;hvdc;0.0;0.0
GR-TR;2050;hvac;1320.0;1320.0
GR-TR;2050;hvdc;0.0;0.0
HR-BA;2050;hvac;1600.0;1600.0
HR-BA;2050;hvdc;0.0;0.0
HR-HU;2050;hvac;1600.0;1600.0
HR-HU;2050;hvdc;0.0;0.0
HR-RS;2050;hvac;600.0;600.0
HR-RS;2050;hvdc;0.0;0.0
HR-SI;2050;hvac;3000.0;3000.0
HR-SI;2050;hvdc;0.0;0.0
HU-AT;2050;hvac;1600.0;1600.0
HU-AT;2050;hvdc;0.0;0.0
HU-HR;2050;hvac;2000.0;2000.0
HU-HR;2050;hvdc;0.0;0.0
HU-RO;2050;hvac;2600.0;2600.0
HU-RO;2050;hvdc;0.0;0.0
HU-RS;2050;hvac;1840.0;1840.0
HU-RS;2050;hvdc;0.0;0.0
HU-SI;2050;hvac;2400.0;2400.0
HU-SI;2050;hvdc;0.0;0.0
HU-SK;2050;hvac;3066.0;3066.0
HU-SK;2050;hvdc;0.0;0.0
IE-FR;2050;hvac;0.0;0.0
IE-FR;2050;hvdc;1400.0;1400.0
IE-UK;2050;hvac;2500.0;2500.0
IE-UK;2050;hvdc;2000.0;2000.0
IT-AT;2050;hvac;1090.0;1090.0
IT-AT;2050;hvdc;0.0;0.0
IT-CH;2050;hvac;3820.0;3820.0
IT-CH;2050;hvdc;0.0;0.0
IT-FR;2050;hvac;1920.0;1920.0
IT-FR;2050;hvdc;2400.0;2400.0
IT-GR;2050;hvac;0.0;0.0
IT-GR;2050;hvdc;1000.0;1000.0
IT-ME;2050;hvac;0.0;0.0
IT-ME;2050;hvdc;1200.0;1200.0
IT-MT;2050;hvac;900.0;900.0
IT-MT;2050;hvdc;0.0;0.0
IT-SI;2050;hvac;1360.0;1360.0
IT-SI;2050;hvdc;0.0;0.0
LT-LV;2050;hvac;2000.0;2000.0
LT-LV;2050;hvdc;0.0;0.0
LT-PL;2050;hvac;300.0;300.0
LT-PL;2050;hvdc;0.0;0.0
LT-SE;2050;hvac;0.0;0.0
LT-SE;2050;hvdc;1400.0;1400.0
LU-DE;2050;hvac;7400.0;7400.0
LU-DE;2050;hvdc;0.0;0.0
LV-EE;2050;hvac;1690.0;1690.0
LV-EE;2050;hvdc;0.0;0.0
LV-LT;2050;hvac;1700.0;1700.0
LV-LT;2050;hvdc;0.0;0.0
ME-AL;2050;hvac;600.0;600.0
ME-AL;2050;hvdc;0.0;0.0
ME-BA;2050;hvac;1000.0;1000.0
ME-BA;2050;hvdc;0.0;0.0
ME-IT;2050;hvac;0.0;0.0
ME-IT;2050;hvdc;1200.0;1200.0
ME-RS;2050;hvac;800.0;800.0
ME-RS;2050;hvdc;0.0;0.0
MK-AL;2050;hvac;1000.0;1000.0
MK-AL;2050;hvdc;0.0;0.0
MK-BG;2050;hvac;800.0;800.0
MK-BG;2050;hvdc;0.0;0.0
MK-GR;2050;hvac;1700.0;1700.0
MK-GR;2050;hvdc;0.0;0.0
MK-RS;2050;hvac;1200.0;1200.0
MK-RS;2050;hvdc;0.0;0.0
MT-IT;2050;hvac;850.0;850.0
MT-IT;2050;hvdc;0.0;0.0
NL-BE;2050;hvac;6800.0;6800.0
NL-BE;2050;hvdc;0.0;0.0
NL-DE;2050;hvac;10000.0;10000.0
NL-DE;2050;hvdc;0.0;0.0
NL-DK;2050;hvac;0.0;0.0
NL-DK;2050;hvdc;1400.0;1400.0
NL-NO;2050;hvac;0.0;0.0
NL-NO;2050;hvdc;1400.0;1400.0
NL-UK;2050;hvac;0.0;0.0
NL-UK;2050;hvdc;2000.0;2000.0
NO-DE;2050;hvac;0.0;0.0
NO-DE;2050;hvdc;2800.0;2800.0
NO-DK;2050;hvac;0.0;0.0
NO-DK;2050;hvdc;3264.0;3264.0
NO-FI;2050;hvac;160.0;160.0
NO-FI;2050;hvdc;0.0;0.0
NO-NL;2050;hvac;0.0;0.0
NO-NL;2050;hvdc;1400.0;1400.0
NO-SE;2050;hvac;7390.0;7390.0
NO-SE;2050;hvdc;0.0;0.0
NO-UK;2050;hvac;0.0;0.0
NO-UK;2050;hvdc;2800.0;2800.0
PL-CZ;2050;hvac;2000.0;2000.0
PL-CZ;2050;hvdc;0.0;0.0
PL-DE;2050;hvac;6000.0;6000.0
PL-DE;2050;hvdc;0.0;0.0
PL-LT;2050;hvac;300.0;300.0
PL-LT;2050;hvdc;0.0;0.0
PL-SE;2050;hvac;0.0;0.0
PL-SE;2050;hvdc;1200.0;1200.0
PL-SK;2050;hvac;1788.0;1788.0
PL-SK;2050;hvdc;0.0;0.0
PT-ES;2050;hvac;7000.0;7000.0
PT-ES;2050;hvdc;0.0;0.0
RO-BG;2050;hvac;4000.0;4000.0
RO-BG;2050;hvdc;0.0;0.0
RO-HU;2050;hvac;2800.0;2800.0
RO-HU;2050;hvdc;0.0;0.0
RO-RS;2050;hvac;2600.0;2600.0
RO-RS;2050;hvdc;0.0;0.0
RS-AL;2050;hvac;500.0;500.0
RS-AL;2050;hvdc;0.0;0.0
RS-BA;2050;hvac;1600.0;1600.0
RS-BA;2050;hvdc;0.0;0.0
RS-BG;2050;hvac;800.0;800.0
RS-BG;2050;hvdc;0.0;0.0
RS-HR;2050;hvac;600.0;600.0
RS-HR;2050;hvdc;0.0;0.0
RS-HU;2050;hvac;2780.0;2780.0
RS-HU;2050;hvdc;0.0;0.0
RS-ME;2050;hvac;1000.0;1000.0
RS-ME;2050;hvdc;0.0;0.0
RS-MK;2050;hvac;1200.0;1200.0
RS-MK;2050;hvdc;0.0;0.0
RS-RO;2050;hvac;2600.0;2600.0
RS-RO;2050;hvdc;0.0;0.0
SE-DE;2050;hvac;0.0;0.0
SE-DE;2050;hvdc;1230.0;1230.0
SE-DK;2050;hvac;2600.0;2600.0
SE-DK;2050;hvdc;1430.0;1430.0
SE-FI;2050;hvac;4000.0;4000.0
SE-FI;2050;hvdc;2400.0;2400.0
SE-LT;2050;hvac;0.0;0.0
SE-LT;2050;hvdc;1400.0;1400.0
SE-NO;2050;hvac;7990.0;7990.0
SE-NO;2050;hvdc;0.0;0.0
SE-PL;2050;hvac;0.0;0.0
SE-PL;2050;hvdc;1200.0;1200.0
SI-AT;2050;hvac;1900.0;1900.0
SI-AT;2050;hvdc;0.0;0.0
SI-HR;2050;hvac;3000.0;3000.0
SI-HR;2050;hvdc;0.0;0.0
SI-HU;2050;hvac;2400.0;2400.0
SI-HU;2050;hvdc;0.0;0.0
SI-IT;2050;hvac;1600.0;1600.0
SI-IT;2050;hvdc;0.0;0.0
SK-CZ;2050;hvac;3200.0;3200.0
SK-CZ;2050;hvdc;0.0;0.0
SK-HU;2050;hvac;6130.0;6130.0
SK-HU;2050;hvdc;0.0;0.0
SK-PL;2050;hvac;2220.0;2220.0
SK-PL;2050;hvdc;0.0;0.0
TR-BG;2050;hvac;668.0;668.0
TR-BG;2050;hvdc;0.0;0.0
TR-GR;2050;hvac;1160.0;1160.0
TR-GR;2050;hvdc;0.0;0.0
UK-BE;2050;hvac;0.0;0.0
UK-BE;2050;hvdc;4800.0;4800.0
UK-DE;2050;hvac;0.0;0.0
UK-DE;2050;hvdc;2800.0;2800.0
UK-DK;2050;hvac;0.0;0.0
UK-DK;2050;hvdc;2800.0;2800.0
UK-FR;2050;hvac;0.0;0.0
UK-FR;2050;hvdc;8000.0;8000.0
UK-IE;2050;hvac;2400.0;2400.0
UK-IE;2050;hvdc;2000.0;2000.0
UK-NL;2050;hvac;0.0;0.0
UK-NL;2050;hvdc;2000.0;2000.0
UK-NO;2050;hvac;0.0;0.0
UK-NO;2050;hvdc;2800.0;2800.0
AT-DE;2030;h2_pipeline;0.0;0.0
AT-IT;2030;h2_pipeline;0.0;0.0
AT-SI;2030;h2_pipeline;0.0;0.0
AT-SK;2030;h2_pipeline;0.0;0.0
BE-DE;2030;h2_pipeline;0.0;0.0
BE-FR;2030;h2_pipeline;0.0;0.0
BE-LU;2030;h2_pipeline;0.0;0.0
BE-NL;2030;h2_pipeline;0.0;0.0
BG-GR;2030;h2_pipeline;0.0;0.0
BG-RO;2030;h2_pipeline;0.0;0.0
CH-IT;2030;h2_pipeline;0.0;0.0
CZ-DE;2030;h2_pipeline;0.0;0.0
CZ-SK;2030;h2_pipeline;0.0;0.0
DE-AT;2030;h2_pipeline;0.0;0.0
DE-BE;2030;h2_pipeline;0.0;0.0
DE-CZ;2030;h2_pipeline;0.0;0.0
DE-DK;2030;h2_pipeline;0.0;0.0
DE-FI;2030;h2_pipeline;0.0;0.0
DE-FR;2030;h2_pipeline;0.0;0.0
DE-NL;2030;h2_pipeline;0.0;0.0
DE-PL;2030;h2_pipeline;0.0;0.0
DK-DE;2030;h2_pipeline;0.0;0.0
EE-FI;2030;h2_pipeline;0.0;0.0
EE-LV;2030;h2_pipeline;0.0;0.0
ES-FR;2030;h2_pipeline;0.0;0.0
ES-IT;2030;h2_pipeline;0.0;0.0
ES-PT;2030;h2_pipeline;0.0;0.0
FI-DE;2030;h2_pipeline;0.0;0.0
FI-EE;2030;h2_pipeline;0.0;0.0
FI-FI;2030;h2_pipeline;0.0;0.0
FI-SE;2030;h2_pipeline;0.0;0.0
FR-BE;2030;h2_pipeline;0.0;0.0
FR-DE;2030;h2_pipeline;0.0;0.0
FR-ES;2030;h2_pipeline;0.0;0.0
GR-BG;2030;h2_pipeline;0.0;0.0
HR-HU;2030;h2_pipeline;0.0;0.0
HR-SI;2030;h2_pipeline;0.0;0.0
HU-HR;2030;h2_pipeline;0.0;0.0
HU-RO;2030;h2_pipeline;0.0;0.0
HU-SI;2030;h2_pipeline;0.0;0.0
HU-SK;2030;h2_pipeline;0.0;0.0
IT-AT;2030;h2_pipeline;0.0;0.0
IT-CH;2030;h2_pipeline;0.0;0.0
IT-ES;2030;h2_pipeline;0.0;0.0
IT-IT;2030;h2_pipeline;0.0;0.0
IT-SI;2030;h2_pipeline;0.0;0.0
LT-LV;2030;h2_pipeline;0.0;0.0
LT-PL;2030;h2_pipeline;0.0;0.0
LU-BE;2030;h2_pipeline;0.0;0.0
LV-EE;2030;h2_pipeline;0.0;0.0
LV-LT;2030;h2_pipeline;0.0;0.0
NL-BE;2030;h2_pipeline;0.0;0.0
NL-DE;2030;h2_pipeline;0.0;0.0
PL-DE;2030;h2_pipeline;0.0;0.0
PL-LT;2030;h2_pipeline;0.0;0.0
PT-ES;2030;h2_pipeline;0.0;0.0
RO-BG;2030;h2_pipeline;0.0;0.0
RO-HU;2030;h2_pipeline;0.0;0.0
SE-FI;2030;h2_pipeline;0.0;0.0
SI-AT;2030;h2_pipeline;0.0;0.0
SI-HR;2030;h2_pipeline;0.0;0.0
SI-HU;2030;h2_pipeline;0.0;0.0
SI-IT;2030;h2_pipeline;0.0;0.0
SK-AT;2030;h2_pipeline;0.0;0.0
SK-CZ;2030;h2_pipeline;0.0;0.0
SK-HU;2030;h2_pipeline;0.0;0.0
AT-DE;2035;h2_pipeline;0.0;0.0
AT-IT;2035;h2_pipeline;0.0;0.0
AT-SI;2035;h2_pipeline;0.0;0.0
AT-SK;2035;h2_pipeline;0.0;0.0
BE-DE;2035;h2_pipeline;0.0;0.0
BE-FR;2035;h2_pipeline;0.0;0.0
BE-LU;2035;h2_pipeline;0.0;0.0
BE-NL;2035;h2_pipeline;0.0;0.0
BG-GR;2035;h2_pipeline;0.0;0.0
BG-RO;2035;h2_pipeline;0.0;0.0
CH-IT;2035;h2_pipeline;0.0;0.0
CZ-DE;2035;h2_pipeline;0.0;0.0
CZ-SK;2035;h2_pipeline;0.0;0.0
DE-AT;2035;h2_pipeline;0.0;0.0
DE-BE;2035;h2_pipeline;0.0;0.0
DE-CZ;2035;h2_pipeline;0.0;0.0
DE-DK;2035;h2_pipeline;0.0;0.0
DE-FI;2035;h2_pipeline;0.0;0.0
DE-FR;2035;h2_pipeline;0.0;0.0
DE-NL;2035;h2_pipeline;0.0;0.0
DE-PL;2035;h2_pipeline;0.0;0.0
DK-DE;2035;h2_pipeline;0.0;0.0
EE-FI;2035;h2_pipeline;0.0;0.0
EE-LV;2035;h2_pipeline;0.0;0.0
ES-FR;2035;h2_pipeline;0.0;0.0
ES-IT;2035;h2_pipeline;0.0;0.0
ES-PT;2035;h2_pipeline;0.0;0.0
FI-DE;2035;h2_pipeline;0.0;0.0
FI-EE;2035;h2_pipeline;0.0;0.0
FI-FI;2035;h2_pipeline;0.0;0.0
FI-SE;2035;h2_pipeline;0.0;0.0
FR-BE;2035;h2_pipeline;0.0;0.0
FR-DE;2035;h2_pipeline;0.0;0.0
FR-ES;2035;h2_pipeline;0.0;0.0
GR-BG;2035;h2_pipeline;0.0;0.0
HR-HU;2035;h2_pipeline;0.0;0.0
HR-SI;2035;h2_pipeline;0.0;0.0
HU-HR;2035;h2_pipeline;0.0;0.0
HU-RO;2035;h2_pipeline;0.0;0.0
HU-SI;2035;h2_pipeline;0.0;0.0
HU-SK;2035;h2_pipeline;0.0;0.0
IT-AT;2035;h2_pipeline;0.0;0.0
IT-CH;2035;h2_pipeline;0.0;0.0
IT-ES;2035;h2_pipeline;0.0;0.0
IT-IT;2035;h2_pipeline;0.0;0.0
IT-SI;2035;h2_pipeline;0.0;0.0
LT-LV;2035;h2_pipeline;0.0;0.0
LT-PL;2035;h2_pipeline;0.0;0.0
LU-BE;2035;h2_pipeline;0.0;0.0
LV-EE;2035;h2_pipeline;0.0;0.0
LV-LT;2035;h2_pipeline;0.0;0.0
NL-BE;2035;h2_pipeline;0.0;0.0
NL-DE;2035;h2_pipeline;0.0;0.0
PL-DE;2035;h2_pipeline;0.0;0.0
PL-LT;2035;h2_pipeline;0.0;0.0
PT-ES;2035;h2_pipeline;0.0;0.0
RO-BG;2035;h2_pipeline;0.0;0.0
RO-HU;2035;h2_pipeline;0.0;0.0
SE-FI;2035;h2_pipeline;0.0;0.0
SI-AT;2035;h2_pipeline;0.0;0.0
SI-HR;2035;h2_pipeline;0.0;0.0
SI-HU;2035;h2_pipeline;0.0;0.0
SI-IT;2035;h2_pipeline;0.0;0.0
SK-AT;2035;h2_pipeline;0.0;0.0
SK-CZ;2035;h2_pipeline;0.0;0.0
SK-HU;2035;h2_pipeline;0.0;0.0
AT-DE;2040;h2_pipeline;6250.0;6250.0
AT-IT;2040;h2_pipeline;9125.0;9125.0
AT-SI;2040;h2_pipeline;1375.0;1375.0
AT-SK;2040;h2_pipeline;6500.0;6500.0
BE-DE;2040;h2_pipeline;3790.0;3790.0
BE-FR;2040;h2_pipeline;8333.0;8333.0
BE-LU;2040;h2_pipeline;1163.0;1163.0
BE-NL;2040;h2_pipeline;8000.0;8000.0
BE-UK;2040;h2_pipeline;8333.0;8333.0
BG-GR;2040;h2_pipeline;3330.0;3330.0
BG-RO;2040;h2_pipeline;4615.0;4615.0
CH-DE;2040;h2_pipeline;7000.0;7000.0
CH-FR;2040;h2_pipeline;4167.0;4167.0
CH-IT;2040;h2_pipeline;5630.0;5630.0
CZ-DE;2040;h2_pipeline;6000.0;6000.0
CZ-PL;2040;h2_pipeline;1250.0;1250.0
CZ-SK;2040;h2_pipeline;6500.0;6500.0
DE-AT;2040;h2_pipeline;6250.0;6250.0
DE-BE;2040;h2_pipeline;3790.0;3790.0
DE-CH;2040;h2_pipeline;7000.0;7000.0
DE-CZ;2040;h2_pipeline;6000.0;6000.0
DE-DK;2040;h2_pipeline;10000.0;10000.0
DE-FI;2040;h2_pipeline;21000.0;21000.0
DE-FR;2040;h2_pipeline;10125.0;10125.0
DE-NL;2040;h2_pipeline;15833.0;15833.0
DE-PL;2040;h2_pipeline;5003.0;5003.0
DK-DE;2040;h2_pipeline;10000.0;10000.0
EE-FI;2040;h2_pipeline;8337.0;8337.0
EE-LV;2040;h2_pipeline;8330.0;8330.0
ES-FR;2040;h2_pipeline;12000.0;12000.0
ES-IT;2040;h2_pipeline;0.0;0.0
ES-PT;2040;h2_pipeline;3380.0;3380.0
FI-DE;2040;h2_pipeline;21000.0;21000.0
FI-EE;2040;h2_pipeline;8330.0;8330.0
FI-FI;2040;h2_pipeline;42000.0;42000.0
FI-SE;2040;h2_pipeline;37917.0;37917.0
FR-BE;2040;h2_pipeline;8333.0;8333.0
FR-CH;2040;h2_pipeline;4167.0;4167.0
FR-DE;2040;h2_pipeline;10125.0;10125.0
FR-ES;2040;h2_pipeline;12000.0;12000.0
GR-BG;2040;h2_pipeline;3150.0;3150.0
HR-HU;2040;h2_pipeline;5350.0;5350.0
HR-SI;2040;h2_pipeline;667.0;667.0
HU-HR;2040;h2_pipeline;5350.0;5350.0
HU-RO;2040;h2_pipeline;6400.0;6400.0
HU-SI;2040;h2_pipeline;817.0;817.0
HU-SK;2040;h2_pipeline;8337.0;8337.0
IE-UK;2040;h2_pipeline;331.0;331.0
IT-AT;2040;h2_pipeline;7000.0;7000.0
IT-CH;2040;h2_pipeline;3670.0;3670.0
IT-ES;2040;h2_pipeline;0.0;0.0
IT-IT;2040;h2_pipeline;17840.0;17840.0
IT-SI;2040;h2_pipeline;817.0;817.0
LT-LV;2040;h2_pipeline;7903.0;7903.0
LT-PL;2040;h2_pipeline;8330.0;8330.0
LU-BE;2040;h2_pipeline;1163.0;1163.0
LV-EE;2040;h2_pipeline;4170.0;4170.0
LV-LT;2040;h2_pipeline;8330.0;8330.0
NL-BE;2040;h2_pipeline;8000.0;8000.0
NL-DE;2040;h2_pipeline;15838.0;15838.0
PL-CZ;2040;h2_pipeline;1250.0;1250.0
PL-DE;2040;h2_pipeline;8330.0;8330.0
PL-LT;2040;h2_pipeline;7150.0;7150.0
PT-ES;2040;h2_pipeline;3380.0;3380.0
RO-BG;2040;h2_pipeline;4615.0;4615.0
RO-HU;2040;h2_pipeline;6400.0;6400.0
SE-FI;2040;h2_pipeline;37917.0;37917.0
SI-AT;2040;h2_pipeline;667.0;667.0
SI-HR;2040;h2_pipeline;1375.0;1375.0
SI-HU;2040;h2_pipeline;817.0;817.0
SI-IT;2040;h2_pipeline;817.0;817.0
SK-AT;2040;h2_pipeline;6500.0;6500.0
SK-CZ;2040;h2_pipeline;6500.0;6500.0
SK-HU;2040;h2_pipeline;8337.0;8337.0
UK-BE;2040;h2_pipeline;8333.0;8333.0
UK-IE;2040;h2_pipeline;331.0;331.0
AT-DE;2050;h2_pipeline;6250.0;6250.0
AT-IT;2050;h2_pipeline;9125.0;9125.0
AT-SI;2050;h2_pipeline;1375.0;1375.0
AT-SK;2050;h2_pipeline;6500.0;6500.0
BE-DE;2050;h2_pipeline;4998.0;4998.0
BE-FR;2050;h2_pipeline;8333.0;8333.0
BE-LU;2050;h2_pipeline;1413.0;1413.0
BE-NL;2050;h2_pipeline;10000.0;10000.0
BE-UK;2050;h2_pipeline;8333.0;8333.0
BG-GR;2050;h2_pipeline;3665.0;3665.0
BG-RO;2050;h2_pipeline;5811.0;5811.0
CH-DE;2050;h2_pipeline;10000.0;10000.0
CH-FR;2050;h2_pipeline;4167.0;4167.0
CH-IT;2050;h2_pipeline;5630.0;5630.0
CZ-DE;2050;h2_pipeline;13300.0;13300.0
CZ-PL;2050;h2_pipeline;1250.0;1250.0
CZ-SK;2050;h2_pipeline;6500.0;6500.0
DE-AT;2050;h2_pipeline;6250.0;6250.0
DE-BE;2050;h2_pipeline;4998.0;4998.0
DE-CH;2050;h2_pipeline;10000.0;10000.0
DE-CZ;2050;h2_pipeline;13300.0;13300.0
DE-DK;2050;h2_pipeline;10000.0;10000.0
DE-FI;2050;h2_pipeline;21000.0;21000.0
DE-FR;2050;h2_pipeline;10125.0;10125.0
DE-NL;2050;h2_pipeline;23300.0;23300.0
DE-PL;2050;h2_pipeline;9467.0;9467.0
DK-DE;2050;h2_pipeline;10000.0;10000.0
EE-FI;2050;h2_pipeline;8337.0;8337.0
EE-LV;2050;h2_pipeline;8330.0;8330.0
ES-FR;2050;h2_pipeline;15000.0;15000.0
ES-IT;2050;h2_pipeline;0.0;0.0
ES-PT;2050;h2_pipeline;3380.0;3380.0
FI-DE;2050;h2_pipeline;21000.0;21000.0
FI-EE;2050;h2_pipeline;8330.0;8330.0
FI-FI;2050;h2_pipeline;42000.0;42000.0
FI-SE;2050;h2_pipeline;37917.0;37917.0
FR-BE;2050;h2_pipeline;8333.0;8333.0
FR-CH;2050;h2_pipeline;4167.0;4167.0
FR-DE;2050;h2_pipeline;10125.0;10125.0
FR-ES;2050;h2_pipeline;15000.0;15000.0
GR-BG;2050;h2_pipeline;3671.0;3671.0
HR-HU;2050;h2_pipeline;5350.0;5350.0
HR-SI;2050;h2_pipeline;667.0;667.0
HU-HR;2050;h2_pipeline;5350.0;5350.0
HU-RO;2050;h2_pipeline;6400.0;6400.0
HU-SI;2050;h2_pipeline;817.0;817.0
HU-SK;2050;h2_pipeline;8337.0;8337.0
IE-UK;2050;h2_pipeline;1189.0;1189.0
IT-AT;2050;h2_pipeline;7000.0;7000.0
IT-CH;2050;h2_pipeline;3670.0;3670.0
IT-ES;2050;h2_pipeline;0.0;0.0
IT-IT;2050;h2_pipeline;17840.0;17840.0
IT-SI;2050;h2_pipeline;817.0;817.0
LT-LV;2050;h2_pipeline;7903.0;7903.0
LT-PL;2050;h2_pipeline;8330.0;8330.0
LU-BE;2050;h2_pipeline;1413.0;1413.0
LV-EE;2050;h2_pipeline;5285.0;5285.0
LV-LT;2050;h2_pipeline;8330.0;8330.0
NL-BE;2050;h2_pipeline;10000.0;10000.0
NL-DE;2050;h2_pipeline;23296.0;23296.0
PL-CZ;2050;h2_pipeline;1250.0;1250.0
PL-DE;2050;h2_pipeline;9461.0;9461.0
PL-LT;2050;h2_pipeline;7150.0;7150.0
PT-ES;2050;h2_pipeline;3380.0;3380.0
RO-BG;2050;h2_pipeline;5811.0;5811.0
RO-HU;2050;h2_pipeline;6400.0;6400.0
SE-FI;2050;h2_pipeline;37917.0;37917.0
SI-AT;2050;h2_pipeline;667.0;667.0
SI-HR;2050;h2_pipeline;1375.0;1375.0
SI-HU;2050;h2_pipeline;817.0;817.0
SI-IT;2050;h2_pipeline;817.0;817.0
SK-AT;2050;h2_pipeline;6500.0;6500.0
SK-CZ;2050;h2_pipeline;6500.0;6500.0
SK-HU;2050;h2_pipeline;8337.0;8337.0
UK-BE;2050;h2_pipeline;8333.0;8333.0
UK-IE;2050;h2_pipeline;1189.0;1189.0
AL-GR;2031;hvac;400.0;400.0
AL-GR;2031;hvdc;0.0;0.0
AL-GR;2036;hvac;400.0;400.0
AL-GR;2036;hvdc;0.0;0.0
AL-ME;2031;hvac;300.0;300.0
AL-ME;2031;hvdc;0.0;0.0
AL-ME;2036;hvac;300.0;300.0
AL-ME;2036;hvdc;0.0;0.0
AL-MK;2031;hvac;500.0;500.0
AL-MK;2031;hvdc;0.0;0.0
AL-MK;2036;hvac;500.0;500.0
