conversion_tech;year_op;emission_factor;ramp_up;ramp_down
ocgt;2041;0.513;;
ocgt;2051;0.513;;
coal_pp;2031;0.825;;
coal_pp;2036;0.825;;
coal_pp;2041;0.825;;
coal_pp;2051;0.825;;
lignite_pp;2031;0.983;;
lignite_pp;2036;0.983;;
lignite_pp;2041;0.983;;
lignite_pp;2051;0.983;;
nuclear_lte;2031;0;0.2;0.2
nuclear_lte;2036;0;0.2;0.2
nuclear_lte;2041;0;0.2;0.2
nuclear_lte;2051;0;0.2;0.2
nuclear_new;2031;0;0.2;0.2
nuclear_new;2036;0;0.2;0.2
nuclear_new;2041;0;0.2;0.2
nuclear_new;2051;0;0.2;0.2
oil_pp;2031;0.702;;
oil_pp;2036;0.702;;
oil_pp;2041;0.702;;
oil_pp;2051;0.702;;
ccht;2031;0;;
ccht;2036;0;;
ccht;2041;0;;
ccht;2051;0;;
ocht;2031;0;;
ocht;2036;0;;
ocht;2041;0;;
ocht;2051;0;;
other_res;2031;0;;
other_res;2036;0;;
other_res;2041;0;;
other_res;2051;0;;
biogas_reactor;2031;-0.205;;
biogas_reactor;2036;-0.205;;
biogas_reactor;2041;-0.205;;
biogas_reactor;2051;-0.205;;
lignite_mine;2031;;;
lignite_mine;2036;;;
lignite_mine;2041;;;
lignite_mine;2051;;;
wind_onshore;2031;;;
wind_onshore;2036;;;
wind_onshore;2041;;;
wind_onshore;2051;;;
wind_offshore;2031;;;
wind_offshore;2036;;;
wind_offshore;2041;;;
wind_offshore;2051;;;
solar_pv;2031;;;
solar_pv;2036;;;
solar_pv;2041;;;
solar_pv;2051;;;
solar_rooftop_pv;2031;;;
solar_rooftop_pv;2036;;;
solar_rooftop_pv;2041;;;
solar_rooftop_pv;2051;;;
hydro_river;2031;;;
hydro_river;2036;;;
hydro_river;2041;;;
hydro_river;2051;;;
hydro_reservoir;2031;;;
hydro_reservoir;2036;;;
hydro_reservoir;2041;;;
hydro_reservoir;2051;;;
hydro_pondage;2031;;;
hydro_pondage;2036;;;
hydro_pondage;2041;;;
hydro_pondage;2051;;;
hydro_pondage_h2o_inflow;2031;;;
hydro_pondage_h2o_inflow;2036;;;
hydro_pondage_h2o_inflow;2041;;;
hydro_pondage_h2o_inflow;2051;;;
hydro_reservoir_h2o_inflow;2031;;;
hydro_reservoir_h2o_inflow;2036;;;
hydro_reservoir_h2o_inflow;2041;;;
hydro_reservoir_h2o_inflow;2051;;;
