area;year_inv;storage_tech;energy_capacity_investment_max;energy_capacity_investment_min;power_capacity_investment_max;power_capacity_investment_min
MD;2040;PHS;0.0;0.0;0.0;0.0
ME;2040;PHS;0.0;0.0;0.0;0.0
MK;2040;PHS;273603.0;273603.0;332.85;332.85
MT;2040;PHS;0.0;0.0;0.0;0.0
NL;2040;PHS;0.0;0.0;0.0;0.0
NO;2040;PHS;0.0;0.0;0.0;0.0
PL;2040;PHS;0.0;0.0;2769.9999999999995;2769.9999999999995
PT;2040;PHS;0.0;0.0;0.0;0.0
RO;2040;PHS;9600.0;9600.0;828.8;828.8
RS;2040;PHS;0.0;0.0;656.0;656.0
SE;2040;PHS;0.0;0.0;0.0;0.0
SI;2040;PHS;10000.0;10000.0;730.0;730.0
SK;2040;PHS;0.0;0.0;0.0;0.0
TR;2040;PHS;0.0;0.0;0.0;0.0
UA;2040;PHS;0.0;0.0;324.0;324.0
UK;2040;PHS;0.0;0.0;849.8999999999996;849.8999999999996
AL;2050;PHS;0.0;0.0;0.0;0.0
AT;2050;PHS;0.0;0.0;0.0;0.0
BA;2050;PHS;0.0;0.0;0.0;0.0
BE;2050;PHS;0.0;0.0;0.0;0.0
BG;2050;PHS;0.0;0.0;400.0;400.0
CH;2050;PHS;0.0;0.0;243.54917905152706;243.54917905152706
CY;2050;PHS;0.0;0.0;0.0;0.0
CZ;2050;PHS;0.0;0.0;0.0;0.0
DE;2050;PHS;0.0;0.0;0.0;0.0
DK;2050;PHS;0.0;0.0;0.0;0.0
EE;2050;PHS;0.0;0.0;0.0;0.0
ES;2050;PHS;76575.65882353019;76575.65882353019;6716.699999999997;6716.699999999997
FI;2050;PHS;0.0;0.0;0.0;0.0
FR;2050;PHS;60000.0;60000.0;2000.0;2000.0
GR;2050;PHS;14200.0;14200.0;1080.0;1080.0
HR;2050;PHS;0.0;0.0;0.0;0.0
HU;2050;PHS;0.0;0.0;0.0;0.0
IE;2050;PHS;0.0;0.0;0.0;0.0
IT;2050;PHS;0.0;0.0;0.0;0.0
LT;2050;PHS;0.0;0.0;0.0;0.0
LU;2050;PHS;0.0;0.0;0.0;0.0
LV;2050;PHS;0.0;0.0;0.0;0.0
MD;2050;PHS;0.0;0.0;0.0;0.0
ME;2050;PHS;0.0;0.0;0.0;0.0
MK;2050;PHS;0.0;0.0;0.0;0.0
MT;2050;PHS;0.0;0.0;0.0;0.0
NL;2050;PHS;0.0;0.0;0.0;0.0
NO;2050;PHS;0.0;0.0;0.0;0.0
PL;2050;PHS;0.0;0.0;0.0;0.0
PT;2050;PHS;0.0;0.0;0.0;0.0
RO;2050;PHS;0.0;0.0;0.0;0.0
RS;2050;PHS;0.0;0.0;0.0;0.0
