conversion_tech;year_inv;invest_cost;life_span;finance_rate;early_decommissioning;annuity_perfect_foresight
dsr_1;2035;;5;0.05;1;0
dsr_1;2040;;5;0.05;1;0
dsr_1;2050;;5;0.05;1;0
dsr_2;2030;;5;0.05;1;0
dsr_2;2035;;5;0.05;1;0
dsr_2;2040;;5;0.05;1;0
dsr_2;2050;;5;0.05;1;0
dsr_3;2030;;5;0.05;1;0
dsr_3;2035;;5;0.05;1;0
dsr_3;2040;;5;0.05;1;0
dsr_3;2050;;5;0.05;1;0
dsr_4;2030;;5;0.05;1;0
dsr_4;2035;;5;0.05;1;0
dsr_4;2040;;5;0.05;1;0
dsr_4;2050;;5;0.05;1;0
dsr_5;2030;;5;0.05;1;0
dsr_5;2035;;5;0.05;1;0
dsr_5;2040;;5;0.05;1;0
dsr_5;2050;;5;0.05;1;0
dsr_6;2030;;5;0.05;1;0
dsr_6;2035;;5;0.05;1;0
dsr_6;2040;;5;0.05;1;0
dsr_6;2050;;5;0.05;1;0
dsr_7;2030;;5;0.05;1;0
dsr_7;2035;;5;0.05;1;0
dsr_7;2040;;5;0.05;1;0
dsr_7;2050;;5;0.05;1;0
dsr_8;2030;;5;0.05;1;0
dsr_8;2035;;5;0.05;1;0
dsr_8;2040;;5;0.05;1;0
dsr_8;2050;;5;0.05;1;0
dsr_9;2030;;5;0.05;1;0
dsr_9;2035;;5;0.05;1;0
dsr_9;2040;;5;0.05;1;0
dsr_9;2050;;5;0.05;1;0
dsr_10;2030;;5;0.05;1;0
dsr_10;2035;;5;0.05;1;0
dsr_10;2040;;5;0.05;1;0
dsr_10;2050;;5;0.05;1;0
