area;year_op;conversion_tech;max_yearly_production;max_daily_production;power_capacity_max;power_capacity_min;fixed_cost;variable_cost;must_run
AL;2050;hydro_pondage_h2o_inflow;;;0.0;0.0;0.0;;1.0
AL;2030;hydro_reservoir_h2o_inflow;;;;;0.0;;1.0
AL;2035;hydro_reservoir_h2o_inflow;;;2031.7;2031.7;0.0;;1.0
AL;2040;hydro_reservoir_h2o_inflow;;;2031.7;2031.7;0.0;;1.0
AL;2050;hydro_reservoir_h2o_inflow;;;2031.7;2031.7;0.0;;1.0
AL;2030;heatpump;;;;;;;
AL;2035;heatpump;;;;;;;
AL;2040;heatpump;;;;;;;
AL;2050;heatpump;;;;;;;
AL;2030;ev;;;;;;;
AL;2035;ev;;;;;;;
AL;2040;ev;;;;;;;
AL;2050;ev;;;;;;;
AL;2030;ammonia_ships;;;0.0;;13366.0;;0.7
AL;2035;ammonia_ships;;;0.0;;12170.0;;0.7
AL;2040;ammonia_ships;;;0.0;;11365.0;;0.7
AL;2050;ammonia_ships;;;0.0;;10301.0;;0.7
AL;2030;mena_imports;;;0.0;;980.0;;0.5
AL;2035;mena_imports;;;0.0;;980.0;;0.5
AL;2040;mena_imports;;;0.0;;980.0;;0.5
AL;2050;mena_imports;;;0.0;;980.0;;0.5
AL;2030;ukraine_imports;;;0.0;;980.0;;0.7
AL;2035;ukraine_imports;;;0.0;;980.0;;0.7
AL;2040;ukraine_imports;;;0.0;;980.0;;0.7
AL;2050;ukraine_imports;;;0.0;;980.0;;0.7
AL;2030;norway_imports;;;0.0;;980.0;;0.7
AL;2035;norway_imports;;;0.0;;980.0;;0.7
AL;2040;norway_imports;;;0.0;;980.0;;0.7
AL;2050;norway_imports;;;0.0;;980.0;;0.7
AL;2030;dsr_1;;;0.0;;;;
AL;2035;dsr_1;;;0.0;;;;
AL;2040;dsr_1;;;0.0;;;;
AL;2050;dsr_1;;;0.0;;;;
AL;2030;dsr_2;;;0.0;;;;
AL;2035;dsr_2;;;0.0;;;;
AL;2040;dsr_2;;;0.0;;;;
AL;2050;dsr_2;;;0.0;;;;
AL;2030;dsr_3;;;0.0;;;;
AL;2035;dsr_3;;;0.0;;;;
AL;2040;dsr_3;;;0.0;;;;
AL;2050;dsr_3;;;0.0;;;;
AL;2030;dsr_4;;;0.0;;;;
AL;2035;dsr_4;;;0.0;;;;
AL;2040;dsr_4;;;0.0;;;;
AL;2050;dsr_4;;;0.0;;;;
AL;2030;dsr_5;;;0.0;;;;
AL;2035;dsr_5;;;0.0;;;;
AL;2040;dsr_5;;;0.0;;;;
AL;2050;dsr_5;;;0.0;;;;
AL;2030;dsr_6;;;0.0;;;;
AL;2035;dsr_6;;;0.0;;;;
AL;2040;dsr_6;;;0.0;;;;
AL;2050;dsr_6;;;0.0;;;;
AL;2030;dsr_7;;;0.0;;;;
AL;2035;dsr_7;;;0.0;;;;
AL;2040;dsr_7;;;0.0;;;;
AL;2050;dsr_7;;;0.0;;;;
AL;2030;dsr_8;;;0.0;;;;
AL;2035;dsr_8;;;0.0;;;;
AL;2040;dsr_8;;;0.0;;;;
AL;2050;dsr_8;;;0.0;;;;
AL;2030;dsr_9;;;0.0;;;;
AL;2035;dsr_9;;;0.0;;;;
AL;2040;dsr_9;;;0.0;;;;
AL;2050;dsr_9;;;0.0;;;;
AL;2030;dsr_10;;;0.0;;;;
AL;2035;dsr_10;;;0.0;;;;
AL;2040;dsr_10;;;0.0;;;;
AL;2050;dsr_10;;;0.0;;;;
AT;2030;electrolysis_2030;;;;;53200.0;0.0;0.0
AT;2035;electrolysis_2030;;;;;53200.0;0.0;0.0
AT;2040;electrolysis_2030;;;;;53200.0;0.0;0.0
AT;2050;electrolysis_2030;;;;;53200.0;0.0;0.0
AT;2030;electrolysis_2035;;;;;47600.0;0.0;0.0
AT;2035;electrolysis_2035;;;;;47600.0;0.0;0.0
AT;2040;electrolysis_2035;;;;;47600.0;0.0;0.0
AT;2050;electrolysis_2035;;;;;47600.0;0.0;0.0
AT;2030;electrolysis_2040;;;;;42000.0;0.0;0.0
AT;2035;electrolysis_2040;;;;;42000.0;0.0;0.0
AT;2040;electrolysis_2040;;;;;42000.0;0.0;0.0
AT;2050;electrolysis_2040;;;;;42000.0;0.0;0.0
AT;2030;electrolysis_2050;;;;;36400.0;0.0;0.0
AT;2035;electrolysis_2050;;;;;36400.0;0.0;0.0
AT;2040;electrolysis_2050;;;;;36400.0;0.0;0.0
AT;2050;electrolysis_2050;;;;;36400.0;0.0;0.0
AT;2030;atr_ccs;;;0.0;;108000.0;3.1;0.0
AT;2035;atr_ccs;;;0.0;;108000.0;3.1;0.0
AT;2040;atr_ccs;;;0.0;;108000.0;3.1;0.0
AT;2050;atr_ccs;;;0.0;;108000.0;3.1;0.0
AT;2030;smr;;;588.2;;198000.0;0.0;0.0
AT;2035;smr;;;588.2;;198000.0;0.0;0.0
AT;2040;smr;;;588.2;;198000.0;0.0;0.0
AT;2050;smr;;;588.2;;198000.0;0.0;0.0
AT;2030;e_smr;;;;;144000.0;0.0;0.0
AT;2035;e_smr;;;;;144000.0;0.0;0.0
AT;2040;e_smr;;;;;144000.0;0.0;0.0
AT;2050;e_smr;;;;;144000.0;0.0;0.0
AT;2030;ccgt;;;;;20000.0;2.5;
AT;2035;ccgt;;;;;33810.0;2.5;
AT;2040;ccgt;;;;;33810.0;2.5;
AT;2050;ccgt;;;;;33810.0;2.5;
AT;2030;ocgt;;;;;11900.0;2.4;
AT;2035;ocgt;;;;;20820.0;2.4;
AT;2040;ocgt;;;;;20820.0;2.4;
AT;2050;ocgt;;;;;20820.0;2.4;
AT;2030;coal_pp;;;;;33878.0;3.45;
AT;2035;coal_pp;;;0.0;;33878.0;3.45;
